Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Jordans Organic Oat Porridge,BREAKFAST CEREALS,OATMEAL/PORRIDGE,Ultra-processed foods,false,new subclass: OATMEAL/PORRIDGE
Jordans Super Berry Granola,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Jordans Super Fruity Granola,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Jordans Super Nutty Granola,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Kaputei 1000 Islands Salad Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Kaputei Barbecue Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,new subclass: BBQ SAUCE
Kaputei Barbeque Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,
Kaputei Basil Pasta Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Basil Pesto Pasta Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
KAPUTEI BBQ HICKORY SMOKE FLAVO,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,new subclass: BBQ SAUCE
Kaputei Chipotle Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,chipotle-flavoured dressing
Kaputei Coriander Pesto,COOKING SAUCES,PESTO,Ultra-processed foods,false,new subclass: PESTO
Kaputei Dressing Cool Ranch Sauce,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,new subclass: SALAD DRESSING
Kaputei Dressing Honey Mustard Sauce,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
Kaputei Dressing Teriyaki Sauce,COOKING SAUCES,TERIYAKI/MIRIN,Ultra-processed foods,false,new subclass: TERIYAKI/MIRIN
Kaputei Garlic Pasta Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Herb Vinaigrette Dressing,TABLE SAUCES,SALAD DRESSING,Ultra-processed foods,false,
Kaputei Honey Barbecue Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,new subclass: BBQ SAUCE
Kaputei Honey Barbeque Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,
Kaputei Hot Pasta Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Hot Pizza Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,
Kaputei Lasagna Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Mayo Ketchup Dressing,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,false,keyword rule -> MAYONNAISE
Kaputei Mushroom Pasta Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Mustard Sauce,TABLE SAUCES,MUSTARD,Ultra-processed foods,false,new subclass: MUSTARD
Kaputei Pasta Cheese Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Pasta Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Pasta Sauce Basil,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Pasta Sauce Garlic,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Pasta Sauce Regular,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Pizza Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,
