description,class_name,subclass_name,nova
KINANGOP GOLD TFA,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
KINANGOP LONG LIFE MILK,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
KINANGOP STRAWBERRY YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
KINANGOP VANILLA YOGHURT,FLAVOURED/FRUIT YOGHURT,FLAVOURED/FRUIT YOGHURT,Ultra-processed foods
KINDER CHOCOLATE T4,CHOCOLATE,CHOCOLATE,Ultra-processed foods
KINDER JOY BOY,CHOCOLATE,CHOCOLATE,Ultra-processed foods
KINDER JOY GIRL,CHOCOLATE,CHOCOLATE,Ultra-processed foods
KNORR BEEF CHILLI CUBE,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR BEEF CUBES,Ultra-processed foods
KNORR CURRY CUBE,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR CURRY CUBES,Ultra-processed foods
KNORR RICH MEATY 40X4GX10,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR MIXES,Ultra-processed foods
KOL CHILLI SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
KOL TOMATO PASTE TIN,TOMATO PASTE,TOMATO PASTE,Processed foods
KOL TOMATO SAUCE,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
KOL TOMATO SAUCE JERICAN,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
KUDOS CHEESE & ONION,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
KUDOS CORN PUFF READY SALTED,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
KUDOS SALT & VINEGAR,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
KUDOS TOMATO KETCHUP,TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods
LEMON SLICES,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
LITTLE HEART CAKE,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
LOTTA CHOCOLATE CREAM TOFFEE,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods
LOTTA SWEETS FRUIT YOGHURT FLAV,CANDY AND CONFECTIONERY,SWEETS/CANDY,Ultra-processed foods
LUCOZADE,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
LUCOZADE BOOST BUZZ,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
LUCOZADE BOOST RTD,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
LUCOZADE ORIGINAL,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
M/HARVEST CHOCO RICE,BREAKFAST CEREALS,RICE FLAKE CEREALS,Ultra-processed foods
M/HARVEST CHOCO SHELLS V/P,BREAKFAST CEREALS,RICE FLAKE CEREALS,Ultra-processed foods
M/HARVEST CORNFLAKES V/P,BREAKFAST CEREALS,CORN FLAKE CEREALS,Ultra-processed foods
M/HARVEST JUMBO OATS,CEREAL GRAINS,OATS,Unprocessed/Minimally processed foods
M/MAID FRUITY BOOST MANGO,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
M/MAID FRUITY BOOST TROPICAL,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
M/MAID REFRESH BERRY,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
MABUYU YANA,CANDY AND CONFECTIONERY,BAOBAB SEED CANDY/MABUYU,Ultra-processed foods
MAC COFFEE CLASSIC INST,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
MAC WHITE COFFEE,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
MAC WHT MORNING COFFEE 3 IN 1 SAT,COFFEE,COFFEE - SWEETENED WITH MILK,Unprocessed/Minimally processed foods
MACADAMIA ROASTED & SALTED K/NUT,SALTED/SUGARED NUTS,SALTED MACADAMIA NUTS,Processed foods
MADEIRA SMALL,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
MALLO,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
MAMA ALL PURPOSE,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
MAMA MAIZE,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
MANJI CAKE SNACK ORANGE & CHOCOLATE FLAV,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
MARA SUGAR WHITE,SUGAR,WHITE SUGAR,Processed Culinary Ingredients
MARBLE CAKE SLICE,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
MARBLE SLICES MILL BAKERS,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
MASALA PEANUT H/EATER,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
MASALA STICKS DEEPA,SWEET AND SAVOURY SNACKS,POTATO STICKS,Ultra-processed foods
MB APPLE 1PC T RED/C PINK/C RED/AFRICAN RED,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE ASSORT 10PC NET,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE ASSORT 4PACK,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE ASSORT 6PACK,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE CRISP PINK 1PC LARGE 165/,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE CRISP PINK 4PACK,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE CRISP PINK 6PACK,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE GREEN 4PACK,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE GREEN 6PACK,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB APPLE PINK LADY 4PACK,FRUITS,APPLES,Unprocessed/Minimally processed foods
MB ARROWROOTS,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods
MB AVOCADO FRUIT,FRUITS,AVOCADO,Unprocessed/Minimally processed foods
MB BLACK PASSION FRUIT,FRUITS,PASSION FRUITS,Unprocessed/Minimally processed foods
MB BROCCOLI,VEGETABLES,BROCCOLI,Unprocessed/Minimally processed foods
MB CARIBBEAN RED PEPPER,HERBS AND SPICES,SPICES - CHILLIES,Unprocessed/Minimally processed foods
MB CARROTS,VEGETABLES,CARROTS,Unprocessed/Minimally processed foods
MB CAULIFLOWER,VEGETABLES,CAULIFLOWER,Unprocessed/Minimally processed foods
MB CELERY,VEGETABLES,CELERY,Unprocessed/Minimally processed foods
MB COCONUT FRUIT /,FRUITS,COCONUT,Unprocessed/Minimally processed foods
MB CORGETTES,VEGETABLES,CORGETTES,Unprocessed/Minimally processed foods
MB EGGPLANT,VEGETABLES,EGGPLANTS,Unprocessed/Minimally processed foods
MB GARLIC IMPORTED -SNOW WHT,HERBS AND SPICES,SPICES - GARLIC,Unprocessed/Minimally processed foods
MB GINGER,HERBS AND SPICES,SPICES - GINGER,Unprocessed/Minimally processed foods
MB GRAPES RED SEEDLESS,FRUITS,GRAPES,Unprocessed/Minimally processed foods
MB GREEN BANANA (MATOKE),VEGETABLES,GREEN BANANAS,Unprocessed/Minimally processed foods
MB HOHO GREEN,HERBS AND SPICES,SPICES - BELL PEPPERS/HOHO,Unprocessed/Minimally processed foods
MB LEMON LOCAL KG,FRUITS,LEMONS,Unprocessed/Minimally processed foods
MB LIME FRUIT,FRUITS,LIME,Unprocessed/Minimally processed foods
MB LOCAL CUCUMBER,VEGETABLES,CUCUMBER,Unprocessed/Minimally processed foods
MB MIX VEGE,VEGETABLES,MIXED VEGETABLES,Unprocessed/Minimally processed foods
MB ORANGES IMPORTED 5PACK,FRUITS,ORANGES,Unprocessed/Minimally processed foods
MB ORANGES IMPORTED 8PC NET,FRUITS,ORANGES,Unprocessed/Minimally processed foods
MB PAWPAW FRUIT,FRUITS,PAW PAWS,Unprocessed/Minimally processed foods
MB PEPPER,HERBS AND SPICES,SPICES - CHILLIES,Unprocessed/Minimally processed foods
MB PUMPKIN,VEGETABLES,PUMPKIN,Unprocessed/Minimally processed foods
MB RED CABBAGE,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
MB RED ONION,VEGETABLES,ONIONS,Unprocessed/Minimally processed foods
MB RIPE BANANAS KG,FRUITS,RIPE BANANAS,Unprocessed/Minimally processed foods
MB SWEET BANANA,FRUITS,RIPE BANANAS,Unprocessed/Minimally processed foods
MB SWEET POTATOES RED,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
MB SWEET POTATOES WHITE,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
MB THORN MELON,FRUITS,THORN MELONS,Unprocessed/Minimally processed foods
MB TOMATOES,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
MB TREE TOMATOES,VEGETABLES,TOMATOES,Unprocessed/Minimally processed foods
MB TURMERIC,HERBS AND SPICES,SPICES - TURMERIC,Unprocessed/Minimally processed foods
MB TURMERIC FRESH,HERBS AND SPICES,SPICES - TURMERIC,Unprocessed/Minimally processed foods
MB WATER MELON FRUIT,FRUITS,WATER MELONS,Unprocessed/Minimally processed foods
MEATY BEEF SAUSAGE F/CHOICE,PROCESSED MEAT,BEEF SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
MEGA SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
MELTING MOMENTS,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
MELVINS FLOW SALT,SALT,TABLE SALT,Processed Culinary Ingredients
MELVINS GINGER TEA,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
MELVINS HERBAL SALT,SALT,HERBAL SALT,Processed Culinary Ingredients
MELVINS MASALA,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
MELVINS PURE KENYA CHAI TEA,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
MHOGO FOODS CASSAVA FLOUR,CASSAVA FLOUR,CASSAVA FLOUR,Unprocessed/Minimally processed foods
MIKSI CHOCHOLATE DRINK,COCOA,COCOA - SWEETENED WITH MILK,Ultra-processed foods
MIKSI SKIMMED POWDER,MILK POWDER,SKIMMED MILK POWDER,Unprocessed/Minimally processed foods
MIKSI SKIMMED POWDER SATC,MILK POWDER,SKIMMED MILK POWDER,Unprocessed/Minimally processed foods
MILO,COCOA,COCOA - SWEETENED WITH MILK,Ultra-processed foods
MILO TIN,COCOA,COCOA - SWEETENED WITH MILK,Ultra-processed foods
MINI HEARTS,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
MINI MADEIRA,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
MINUTE MAID APPLE DELIGHT,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
MINUTE MAID JUICE DELIGHT W/PULPY,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
MINUTE MAID MANGO DELIGHT,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
MINUTE MAID ORANGE PULPY,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
MINUTE MAID TROPICAL DELIGHT,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
MIXED NUT OOA AA K/NUT,SALTED/SUGARED NUTS,SALTED MIXED NUTS,Processed foods
ML FUDGEVILLE DRINKING CHOCOLATE,COCOA,COCOA - UNSWEETENED WITHOUT MILK,Ultra-processed foods
ML MAC COFFEE CLASSIC INST TIN,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
ML MAC TEA 3 IN 1 GINGER MILK SAT,TEA,TEA - SWEETENED WITH MILK,Unprocessed/Minimally processed foods
ML MAC TEA 3 IN 1 ORIG MILK SAT,TEA,TEA - SWEETENED WITH MILK,Unprocessed/Minimally processed foods
MOLO FRESH MILK,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods
MOLO LONG LIFE,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
MOLO LONG LIFE MILK FINO,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
MONSTER ENERGY DRINK ASSAULT,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
MPISHI POA,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
MPISHI POA REFILL,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
MRNP PREMIUM RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
MUFFIN CAKE CHOCO,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
MUFFIN PLAIN,CUPCAKES/MUFFINS/QUEENCAKES,MUFFINS,Ultra-processed foods
NARISHA CHILDREN MEAL,BABY FOODS - PORRIDGE FLOUR,BABY/INFANT PORRIDGE FLOUR,Unprocessed/Minimally processed foods
NATURES GOLD WHITE,BREADS,WHITE BREAD,Ultra-processed foods
NATURES GOLD WHITE BREAD,BREADS,WHITE BREAD,Ultra-processed foods
NDOVU HOME BAKING,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
NESCAFE CLASSIC,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
NEW JUICY FRUIT,CANDY AND CONFECTIONERY,CHEWING GUMS,Ultra-processed foods
NICE BIRYANI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
NICE PISHORI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
NICE SINDANO RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
NOODIES NOODLES BEEF ADULT,NOODLES,NOODLES,Ultra-processed foods
NOODIES NOODLES CHICKEN ADULT,NOODLES,NOODLES,Ultra-processed foods
NOODIES TOMATO & ONION ADULT,NOODLES,NOODLES,Ultra-processed foods
NUMI INST NOODLES BBQ CHICKEN *4 VP,NOODLES,NOODLES,Ultra-processed foods
NUMI INSTANT NOODLES BBQ CHICKEN,NOODLES,NOODLES,Ultra-processed foods
NUMI INSTANT NOODLES PIRI CHICKEN,NOODLES,NOODLES,Ultra-processed foods
NUMI INSTANT NOODLES VEG MCHUZI MIX,NOODLES,NOODLES,Ultra-processed foods
NUT GOLD PEANUT BUTTER CREAMY,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
NUT GOLD PEANUT BUTTER CRUNCHY,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
NUTELLA SPREAD,CHOCOLATE SPREADS,CHOCOLATE SPREADS,Ultra-processed foods
NUTRIGROW FRUIT & MILK CEREALS,BABY FOODS - WHEAT CEREALS,BABY/INFANT WHEAT CEREALS,Ultra-processed foods
NUTRIPRO INSTANT FAMILY PORRIDGE SORGHUM MIX,PORRIDGE FLOUR,PORRIDGE FLOUR - SORGHUM,Unprocessed/Minimally processed foods
NUTRIPRO INSTANT FAMILY PORRIDGE WIMBI,PORRIDGE FLOUR,PORRIDGE FLOUR - MILLET,Unprocessed/Minimally processed foods
NUVITA BISCUIT BRAVO G,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA BISCUIT VITAMILK,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA BREAK TIME BUTTER SCOTCH,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA BREAK TIME C/NUT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA BREAK TIME REG (GREEN),"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA COCONUT COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
NUVITA CRUNCHY GINGER BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA DIGESTIVE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA FAMILY,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA GLUCOSE/BRAVO G,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA OAT DIGESTIVE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA SUNBIX MALTY S-CAKE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA SUNBIX MALTY S/CAKE,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA TEA LEMON BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA VITAMILK 300PC,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA VITAMILK MILKY,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NUVITA VITAMILK MILKY 60X5PC,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
NYAMABITE F/CHOICE,PROCESSED MEAT,NYAMABITE,Ultra-processed foods
ORBIT TAB BERRY BLAST,CANDY AND CONFECTIONERY,CHEWING GUMS,Ultra-processed foods
ORCHID VALLEY APPLE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY DELIGHT APPLE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY DELIGHT MANGO,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY DELIGHT ORANGE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY DELIGHT PASSION,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY DELIGHT TROPICAL,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY MANGO,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY ORANGE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
ORCHID VALLEY TROPICAL,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
OVALTINE,COCOA,COCOA AND MALT - SWEETENED WITH MILK,Ultra-processed foods
OX LIVER KITE,ORGAN MEAT,OX LIVER,Unprocessed/Minimally processed foods
OX TAIL KITE,ORGAN MEAT,OX TAIL,Unprocessed/Minimally processed foods
OYO MCHUZI MIX BEEF,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR BEEF MIXES,Ultra-processed foods
P K PEPPERMINT,CANDY AND CONFECTIONERY,CHEWING GUMS,Ultra-processed foods
PAPOL/PRO MRPP PISHORI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
PAPRIKA DEEPA,HERBS AND SPICES,SPICES - PAPRIKA,Unprocessed/Minimally processed foods
PARADISE FUN CHOCOLATE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARBOILED RICE,CEREAL GRAINS,PARBOILED RICE,Unprocessed/Minimally processed foods
PARL G GLUCOSE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARL MILK POWER BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARL NICE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARLE BISCUIT MILK POWER,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARLE BOURBON CHOCOLATE BISCUIT H & SEEK,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARLE MILK BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARLE NICE BISCUIT,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PARLE S/BERRY BISCUIT HIDE & SEEK FAB,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
PEANUT ENP,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
PEANUT ROASTED & SALTED K/NUT,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
PEANUT/B NUTEEZ CHOCOLATE NUT,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
PEANUT/B NUTEEZ CRUNCHY,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
PEANUT/B NUTEEZ SMOOTH,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
PEANUTS MASALA BHAJIA DEEPA,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
PEARL GREEN GRAM POLISHED,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
PEARL IMPORTED POPCORN,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods
PEARL NJAHI,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods
PEARL PISHORI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
PEARL SUPER BASMATI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
PEARL WHOLE MASOOR LARGE,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods
PEMBE ATTA MARK,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
PEMBE MAIZE,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
PEMBE PURE WIMBI,RED MILLET FLOUR,RED MILLET FLOUR,Unprocessed/Minimally processed foods
PEMBE UJI MIX,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
PEMBE WHEAT,WHEAT FLOUR,WHEAT FLOUR,Unprocessed/Minimally processed foods
PEP COCOPINE DRINK,DILUTING JUICE,SQUASHES,Ultra-processed foods
PEP MANGO DRINK,DILUTING JUICE,SQUASHES,Ultra-processed foods
PEP MIXED FRUIT DRINK,DILUTING JUICE,SQUASHES,Ultra-processed foods
PEP PASSION FRUIT CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
PEP PINEAPPLE DRINK,DILUTING JUICE,CORDIALS,Ultra-processed foods
PEP SUPER LIME CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
PEP SUPER ORANGE DRINK,DILUTING JUICE,CORDIALS,Ultra-processed foods
PEPTANG CHILLI SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
PEPTANG HOT & SWEET SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
PEPTANG HOT N SWEET SAUCE,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods
PEPTANG MIXED FRUIT JAM TIN,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
PEPTANG MIXED FRUIT POWER,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
PEPTANG ORANGE MARMADE,JAM/OTHER SPREADS,MARMALADE,Ultra-processed foods
PEPTANG ORANGE MARMALADE,JAM/OTHER SPREADS,MARMALADE,Ultra-processed foods
PEPTANG PINEAPPLE JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
PEPTANG RED PLUM JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
PEPTANG RED PLUM JAM TIN,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
PEPTANG RED PLUM TIN (1M),JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
PEPTANG S-BERRY JAM,JAM/OTHER SPREADS,FRUIT JAM,Ultra-processed foods
PEPTANG TOMATO GARLIC,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
PEPTANG TOMATO KETCHUP,TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods
PEPTANG TOMATO SAUCE,TABLE SAUCES,TOMATO SAUCE,Ultra-processed foods
PICK & N PEEL RED GRAPE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PICK & N PEEL WHITE GRAPE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PICK & PEEL APPLE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PICK & PEEL MANGO,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PICK & PEEL ORANGE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PICK & PEEL PASSION,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PICK & PEEL PINEAPPLE,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PICK & PEEL TROPICAL MIX,FRESH/FRUIT JUICES - NO ADDED SUGAR,FRESH/FRUIT JUICES - NO ADDED SUGAR,Unprocessed/Minimally processed foods
PIKA COOKING FAT WHITE,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
PIKA COOKING FAT YELLOW,COOKING FAT,VEGETABLE FAT,Processed Culinary Ingredients
PIKA VEG OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
PIKA VEG OIL 3TR,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
PIKA VEGE OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
PILAU MASALA CHARSCO,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
PILAU MASALA GROUND 100 DEEPA,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
PILAU MASALA GROUND 50 DEEPA,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
PILAU MASALA GROUND YANKEE,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
PILAU MASALA WHOLE CHARSCO,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
PILAU MIX CHARSCO,HERBS AND SPICES,SPICES - PILAU MIX,Unprocessed/Minimally processed foods
PIPPED COOKIES,"COOKIES, BISCUITS AND WAFERS",COOKIES,Ultra-processed foods
