source_dataset,source_row_ids,merged_duplicate_count,product_name,normalized_name,package_size,portion_type,portion_basis,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,saturated_fat_g,trans_fat_g,fibre_g,sodium_g,salt_g,calcium_mg,sub_type,form,category,flavour,additives,data_quality_flags
all_categories_combined,2551,1,CHEN KE MING DRIED SPAGHETTI 1000G,CHEN KE MING DRIED SPAGHETTI,Pack size : 1kg,Average Nutritional Value As Per 180g,PER_180G_SCALED,172.222,720.556,6.66667,35,0,0.555556,,,1.66667,0.161111,0.402778,,Noodles,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,613|658|680,3,Chia organic Premium Seed Black 500G,CHIA ORGANIC PREMIUM SEED BLACK,Pack size : 500G,Average Nutritional Value As Per 100g,PER_100G,138,1870,4,12,1,9,,,11,0.001,0.0025,,Chia Seed,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,807|808,2,Chia organic White Chia Seed 250G,CHIA ORGANIC WHITE CHIA SEED,Pack size : 250G,Average Nutritional Value As Per 100g,PER_100G,138,1870,4,12,1,9,,,11,0.001,0.0025,,Chia Seed,Solid,Food,,,salt_derived_from_sodium
all_categories_combined,1434,1,Chicken Tonight Spanish Chicken Sauce 500g,CHICKEN TONIGHT SPANISH CHICKEN SAUCE,Pack size : 500g,Average Nutritional Value As Per 100g,PER_100G,43,180,1.1,6.9,5.5,0.9,,,1.3,0,0.77,,Sauce,Paste,Food,,,
all_categories_combined,4169,1,Chigs Cheese Lip Licking Potato Crisps 100G,CHIGS CHEESE LIP LICKING POTATO CRISPS,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,530,2217.5,7,55,,15,,,3.8,0.0018,0.0045,,Potato Crisps,Solid,Food,Cheese,,missing_sugar|salt_derived_from_sodium
all_categories_combined,4103|4163,2,Chigs Cheese Onion Crisps 50G,CHIGS CHEESE ONION CRISPS,Pack size : 50g,Average Nutritional Value As Per 37g,PER_37G_SCALED,535.135,2239.01,5.40541,48.6486,,32.4324,,,2.7027,1.35135,3.37838,,Wafer,Solid,Food,Cheese And Onion,,missing_sugar|salt_derived_from_sodium
all_categories_combined,4168,1,Chigs Funky Chilli Lemon Potato Crisps 100G,CHIGS FUNKY CHILLI LEMON POTATO CRISPS,Pack size : 100g,Average Nutritional Value As Per 100g,PER_100G,496,2075.26,8.5,57.7,,27.2,,,5.2,0.793,1.9825,,Potato Crisps,Solid,Food,"Chilli, Lemon",,missing_sugar|salt_derived_from_sodium
all_categories_combined,4102|4164,2,Chigs Hot Chilli Crisps 50G,CHIGS HOT CHILLI CRISPS,Pack size : 50g,Average Nutritional Value As Per 30g,PER_30G_SCALED,900,3765.6,6.66667,53.3333,,36.6667,,,,0.933333,2.33333,,Wafer,Solid,Food,,,missing_sugar|salt_derived_from_sodium
all_categories_combined,4098|4165,2,Chigs Plain Salted Crisps 50G,CHIGS PLAIN SALTED CRISPS,Pack size : 50g,Average Nutritional Value As Per 50g,PER_50G_SCALED,522,2184.04,4,48,,32,,,4,,,,Wafer,Solid,Food,,,missing_sodium|missing_sugar
all_categories_combined,4095,1,Chigs Tomato Ketchup Crisps 50G,CHIGS TOMATO KETCHUP CRISPS,Pack size : 50g,Average Nutritional Value As Per 30g,PER_30G_SCALED,513.333,2147.79,3.33333,43.3333,,30,,,6.66667,1,2.5,,Wafer,Solid,Food,Tomato,,missing_sugar|salt_derived_from_sodium
